里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0028K+300,台7線,121.34378000000,24.76043800000,284768.26899999997,2739287.35800000001,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+400,台7線,121.34450400000,24.75983400000,284841.65999999997,2739220.64300000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+500,台7線,121.34528600000,24.75929900000,284920.89899999998,2739161.58600000013,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+600,台7線,121.34623900000,24.75907100000,285017.34600000002,2739136.57700000005,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+700,台7線,121.34721400000,24.75908200000,285115.95199999999,2739138.04499999993,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+800,台7線,121.34819300000,24.75908300000,285214.96500000003,2739138.40700000012,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0028K+900,台7線,121.34872500000,24.75853200000,285268.92499999999,2739077.51599999983,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+000,台7線,121.34866500000,24.75765300000,285263.10499999998,2738980.14300000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+100,台7線,121.34819500000,24.75687900000,285215.78800000000,2738894.29400000023,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+200,台7線,121.34822500000,24.75603700000,285219.06000000000,2738801.04199999990,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+300,台7線,121.34826700000,24.75518800000,285223.54700000002,2738707.01800000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+400,台7線,121.34847900000,24.75436900000,285245.21999999997,2738616.35999999987,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+500,台7線,121.34895900000,24.75365700000,285293.96899999998,2738537.62300000014,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+600,台7線,121.34967800000,24.75306800000,285366.85600000003,2738472.57200000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+700,台7線,121.35047700000,24.75274100000,285447.76100000000,2738436.56000000006,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+800,台7線,121.35092300000,24.75205400000,285493.06599999999,2738360.58399999980,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0029K+900,台7線,121.35182800000,24.75224600000,285584.54599999997,2738382.08499999996,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0030K+000,台7線,121.35208700000,24.75148800000,285610.95799999998,2738298.19700000016,一工處,復興工務段,2016/06/23,桃園市,復興區,羅浮村,
0030K+100,台7線,121.35250200000,24.75074100000,285653.14500000002,2738215.56699999981,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+200,台7線,121.35337900000,24.75087800000,285741.80900000001,2738230.97000000020,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
